,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK,SEASON
15,Memphis Grizzlies,1610612763,6,2,4,0.333,293.0,107.3,116.8,-9.5,88.2,16.2,0.203,0.739,0.47,0.126,10,10,2,10,10,6,16,15,10,12,14,15,1,16,2016-17
0,New Orleans Pelicans,1610612740,9,5,4,0.556,432.0,105.4,105.7,-0.3,104.6,19.0,0.177,0.788,0.493,0.138,8,5,1,4,8,9,6,7,2,15,9,11,8,1,2017-18
1,Miami Heat,1610612748,5,1,4,0.2,240.0,101.6,109.6,-8.0,103.0,17.3,0.207,0.704,0.451,0.157,13,13,1,13,13,14,11,13,7,10,16,15,16,2,2017-18
2,Portland Trail Blazers,1610612757,4,0,4,0.0,192.0,104.3,114.7,-10.4,100.5,14.3,0.239,0.811,0.501,0.143,16,16,1,16,16,12,16,15,15,2,1,8,13,3,2017-18
3,Philadelphia 76ers,1610612755,10,5,5,0.5,485.0,106.5,104.7,1.8,100.1,18.0,0.291,0.808,0.546,0.143,6,5,10,6,6,8,5,3,3,1,3,1,12,4,2017-18
4,Oklahoma City Thunder,1610612760,6,2,4,0.333,288.0,100.7,106.1,-5.4,100.0,12.8,0.208,0.754,0.484,0.139,11,11,1,11,11,15,8,12,16,8,14,13,10,5,2017-18
5,Washington Wizards,1610612764,6,2,4,0.333,288.0,106.7,110.2,-3.5,99.8,17.5,0.212,0.781,0.497,0.134,11,11,1,11,11,5,12,11,5,7,10,9,7,6,2017-18
6,Utah Jazz,1610612762,11,5,6,0.455,528.0,102.9,104.4,-1.5,99.8,15.5,0.208,0.808,0.505,0.156,5,5,12,7,5,13,3,8,11,9,2,7,15,6,2017-18
7,Golden State Warriors,1610612744,21,16,5,0.762,1013.0,111.9,100.5,11.4,98.8,19.2,0.218,0.776,0.511,0.13,2,1,10,1,2,1,1,1,1,5,12,3,4,8,2017-18
8,Houston Rockets,1610612745,17,11,6,0.647,816.0,106.7,106.1,0.6,97.8,14.7,0.2,0.801,0.497,0.123,4,3,12,2,4,6,7,5,14,13,5,10,3,9,2017-18
9,Toronto Raptors,1610612761,10,4,6,0.4,485.0,110.1,112.5,-2.4,97.3,16.8,0.232,0.791,0.506,0.144,6,8,12,10,6,2,14,10,9,4,8,6,14,10,2017-18
